hits,title,year,authors,key,ee,venue_category
1956,A Search-Based Approach for Architectural Design of Feedback Control Concerns in Self-Adaptive Systems.,2013,Sandro Santos Andrade & Raimundo José de Araújo Macêdo,conf/saso/AndradeM13,https://doi.org/10.1109/SASO.2013.42,Self-Adaptive_Systems
1902,Composition Algorithm Adaptation in Service Oriented Systems.,2020,Niranjana Deshpande & Naveen Sharma,conf/ecsa/DeshpandeS20,https://doi.org/10.1007/978-3-030-59155-7_13,Software_Architecture
1800,Towards Pulverised Architectures for Collective Adaptive Systems through Multi-Tier Programming.,2021,Gianluca Aguzzi & Roberto Casadei & Danilo Pianini & Guido Salvaneschi & Mirko Viroli,conf/acsos/AguzziCPSV21,https://doi.org/10.1109/ACSOS-C52956.2021.00033,Self-Adaptive_Systems
876,An adaptive nonparametric particle filter for state estimation.,2012,Yali Wang & Brahim Chaib-draa,conf/icra/WangC12,https://doi.org/10.1109/ICRA.2012.6224840,Robotics
1845,An Architecture for Self-Awareness Experiments.,2017,Christopher Landauer & Kirstie L. Bellman,conf/icac/LandauerB17,https://doi.org/10.1109/ICAC.2017.33,Self-Adaptive_Systems
1404,Mass Manufacturing of Self-Actuating Robots: Integrating Sensors and Actuators Using Flexible Electronics.,2018,Artem Dementyev & Jie Qil & Jifei Ou & Joseph A. Paradiso,conf/iros/DementyevQOP18,https://doi.org/10.1109/IROS.2018.8593631,Robotics
448,A Collective Adaptive Approach to Decentralised k-Coverage in Multi-robot Systems.,2022,Danilo Pianini & Federico Pettinari & Roberto Casadei & Lukas Esterle,journals/taas/PianiniPCE22,https://doi.org/10.1145/3547145,Self-Adaptive_Systems
582,CaRINA Intelligent Robotic Car: Architectural design and applications.,2014,Leandro C. Fernandes & Jefferson R. Souza & Gustavo Pessin & Patrick Yuri Shinzato & Daniel O. Sales & Caio César Teodoro Mendes & Marcos Prado & Rafael Luiz Klaser & André Chaves Magalhães & Alberto Yukinobu Hata & Daniel F. Pigatto & Kalinka Regina Lucas Jaquie Castelo Branco & Valdir Grassi Jr. & Fernando Santos Osório & Denis F. Wolf,journals/jsa/FernandesSPSSMPKMHPBGOW14,https://doi.org/10.1016/j.sysarc.2013.12.003,Software_Architecture
707,Dynamics calibration of optically trapped cells with adaptive control technology.,2013,Haoyao Chen & Can Wang 0002 & Dong Sun 0001,conf/icra/ChenWS13,https://doi.org/10.1109/ICRA.2013.6630964,Robotics
1876,Architectural Reasoning Support for Product-Lines of Self-adaptive Software Systems - A Case Study.,2015,Nadeem Abbas & Jesper Andersson,conf/ecsa/AbbasA15,https://doi.org/10.1007/978-3-319-23727-5_2,Software_Architecture
1898,Automated Scheduling of Multi-Robot System Missions: An Architectural Perspective (short paper).,2021,Gricel Vázquez,conf/ecsa/Vazquez21,http://ceur-ws.org/Vol-2978/ds-paper97.pdf,Software_Architecture
1828,BayesSim: Adaptive Domain Randomization Via Probabilistic Inference for Robotics Simulators.,2019,Fabio Ramos 0001 & Rafael Possas & Dieter Fox,conf/rss/RamosPF19,https://doi.org/10.15607/RSS.2019.XV.029,Robotics
69,An Adaptive Method for the Stochastic Orienteering Problem.,2021,Thomas C. Thayer & Stefano Carpin,journals/ral/ThayerC21,https://doi.org/10.1109/LRA.2021.3068699,Robotics
1892,Towards a Process to Design Architectures of Service-Oriented Robotic Systems.,2014,Lucas Bueno Ruas de Oliveira & Elena Leroux & Katia Romero Felizardo & Flávio Oquendo & Elisa Yumi Nakagawa,conf/ecsa/OliveiraLFON14,https://doi.org/10.1007/978-3-319-09970-5_20,Software_Architecture
1853,An Architecture Model for Harvesting-Aware Applications in FPGA.,2015,Marilia Souto Maior De Lima & Pedro Lazaro A. Santos & Cristiano Coelho de Araújo,conf/icac/LimaSA15,https://doi.org/10.1109/ICAC.2015.19,Self-Adaptive_Systems
804,Uniform Complete Observability of Mass and Rotational Inertial Parameters in Adaptive Identification of Rigid-Body Plant Dynamics.,2021,Tyler M. Paine & Louis L. Whitcomb,conf/icra/PaineW21,https://doi.org/10.1109/ICRA48506.2021.9561892,Robotics
1101,Self-supervised Representation Learning for Reliable Robotic Monitoring of Fruit Anomalies.,2022,Taeyeong Choi & Owen Would & Adrian Salazar Gomez & Grzegorz Cielniak,conf/icra/ChoiWGC22,https://doi.org/10.1109/ICRA46639.2022.9811954,Robotics
701,Self-folding and self-actuating robots: A pneumatic approach.,2015,Xu Sun & Samuel M. Felton & Ryuma Niiyama & Robert J. Wood & Sangbae Kim,conf/icra/SunFNWK15,https://doi.org/10.1109/ICRA.2015.7139634,Robotics
1064,Generalizing demonstrated motions and adaptive motion generation using an invariant rigid body trajectory representation.,2016,Maxim Vochten & Tinne De Laet & Joris De Schutter,conf/icra/VochtenLS16,https://doi.org/10.1109/ICRA.2016.7487139,Robotics
1789,Towards a pattern language for self-adaptation of cloud-based architectures.,2014,Aakash Ahmad & Muhammad Ali Babar,conf/wicsa/AhmadB14,https://doi.org/10.1145/2578128.2578227,Software_Architecture
1234,Learning to Collide: An Adaptive Safety-Critical Scenarios Generating Method.,2020,Wenhao Ding & Baiming Chen & Minjun Xu & Ding Zhao,conf/iros/DingCXZ20,https://doi.org/10.1109/IROS45743.2020.9340696,Robotics
445,Designing Robot Teams for Distributed Construction; Repair; and Maintenance.,2019,Todd Wareham,journals/taas/Wareham19,https://doi.org/10.1145/3337797,Self-Adaptive_Systems
559,Partially shared cache and adaptive replacement algorithm for NoC-based many-core systems.,2019,Pengfei Yang 0001 & Quan Wang 0006 & Hongwei Ye & Zhiqiang Zhang 0001,journals/jsa/YangWYZ19,https://doi.org/10.1016/j.sysarc.2019.05.002,Software_Architecture
519,Active planning for underwater inspection and the benefit of adaptivity.,2013,Geoffrey A. Hollinger & Brendan J. Englot & Franz S. Hover & Urbashi Mitra & Gaurav S. Sukhatme,journals/ijrr/HollingerEHMS13,https://doi.org/10.1177/0278364912467485,Robotics
450,Centralized and distributed task allocation in multi-robot teams via a stochastic clustering auction.,2012,Kai Zhang & Emmanuel G. Collins Jr. & Dongqing Shi,journals/taas/ZhangCS12,https://doi.org/10.1145/2240166.2240171,Self-Adaptive_Systems
1863,Considerations About Continuous Experimentation for Resource-Constrained Platforms in Self-driving Vehicles.,2017,Federico Giaimo & Christian Berger 0001 & Crispin Kirchner,conf/ecsa/GiaimoBK17,https://doi.org/10.1007/978-3-319-65831-5_6,Software_Architecture
1970,Combining Conflicting Environmental and Task Requirements in Evolutionary Robotics.,2015,Evert Haasdijk,conf/saso/Haasdijk15,https://doi.org/10.1109/SASO.2015.21,Self-Adaptive_Systems
689,Lab in a Droplet (LiD): Self-assembly of micro-nano structures inside a Droplet using surface tension.,2015,Masaru Takeuchi & Akihiko Ichikawa & Masahiro Nakajima & Toshio Fukuda & Yasuhisa Hasegawa & Qiang Huang 0002,conf/icra/TakeuchiINFHH15,https://doi.org/10.1109/ICRA.2015.7139769,Robotics
451,A morphogenetic framework for self-organized multirobot pattern formation and boundary coverage.,2012,Hongliang Guo & Yaochu Jin & Yan Meng,journals/taas/GuoJM12,https://doi.org/10.1145/2168260.2168275,Self-Adaptive_Systems
1941,A Goal-Driven Approach for Deploying Self-Adaptive IoT Systems.,2020,Fahed Alkhabbas & Ilir Murturi & Romina Spalazzese & Paul Davidsson & Schahram Dustdar,conf/icsa/AlkhabbasMSDD20,https://doi.org/10.1109/ICSA47634.2020.00022,Software_Architecture
