hits,title,year,authors,key,ee,venue_category
1926,ROSDiscover: Statically Detecting Run-Time Architecture Misconfigurations in Robotics Systems : Artifact Paper.,2022,Christopher Steven Timperley & Tobias Dürschmid & Bradley R. Schmerl & David Garlan & Claire Le Goues,conf/icsa/TimperleyDSGG22a,https://doi.org/10.1109/ICSA-C54293.2022.00055,Software_Architecture
1932,The Vision of Self-Aware Performance Models.,2018,Johannes Grohmann & Simon Eismann & Samuel Kounev,conf/icsa/GrohmannEK18,https://doi.org/10.1109/ICSA-C.2018.00024,Software_Architecture
541,Adaptive GTS allocation in IEEE 802.15.4 for real-time wireless sensor networks.,2013,Feng Xia 0001 & Ruonan Hao & Jie Li 0029 & Naixue Xiong & Laurence T. Yang & Yan Zhang 0002,journals/jsa/XiaHLXYZ13,https://doi.org/10.1016/j.sysarc.2013.10.007,Software_Architecture
1818,Control Theory for Model-based Performance-driven Software Adaptation.,2015,Davide Arcelli & Vittorio Cortellessa & Antonio Filieri & Alberto Leva,conf/qosa/ArcelliCFL15,https://doi.org/10.1145/2737182.2737187,Software_Architecture
1897,Control of Self-adaptation Under Partial Observation: A Modular Approach.,2017,Narges Khakpour,conf/ecsa/Khakpour17,https://doi.org/10.1007/978-3-319-65831-5_8,Software_Architecture
1180,RoboMAX: Robotic Mission Adaptation eXemplars.,2021,Mehrnoosh Askarpour & Christos Tsigkanos & Claudio Menghi & Radu Calinescu & Patrizio Pelliccione & Sergio García 0002 & Ricardo Caldas & Tim J. von Oertzen & Manuel Wimmer & Luca Berardinelli & Matteo Rossi & Marcello M. Bersani & Gabriel S. Rodrigues,conf/seams/AskarpourTMCP0C21,https://doi.org/10.1109/SEAMS51251.2021.00040,Self-Adaptive_Systems
209,Reactive Support Polygon Adaptation for the Hybrid Legged-Wheeled CENTAURO Robot.,2020,Malgorzata Kamedula & Nikos G. Tsagarakis,journals/ral/KamedulaT20,https://doi.org/10.1109/LRA.2020.2969954,Robotics
65,A Stable Adaptive Observer for Hard-Iron and Soft-Iron Bias Calibration and Compensation for Two-Axis Magnetometers: Theory and Experimental Evaluation.,2020,Andrew R. Spielvogel & Louis L. Whitcomb,journals/ral/SpielvogelW20,https://doi.org/10.1109/LRA.2020.2967308,Robotics
624,Multi-robot coordination through dynamic Voronoi partitioning for informative adaptive sampling in communication-constrained environments.,2017,Stephanie Kemna & John G. Rogers & Carlos Nieto-Granda & Stuart Young & Gaurav S. Sukhatme,conf/icra/KemnaRNYS17,https://doi.org/10.1109/ICRA.2017.7989245,Robotics
718,Adaptive Tracking Control of Soft Robots Using Integrated Sensing Skins and Recurrent Neural Networks.,2021,Lasitha Weerakoon & Zepeng Ye & Rahul Subramonian Bama & Elisabeth Smela & Miao Yu 0007 & Nikhil Chopra,conf/icra/WeerakoonYBSYC21,https://doi.org/10.1109/ICRA48506.2021.9561447,Robotics
1865,Design and Analysis of Self-protection: Adaptive Security for Software-Intensive Systems (short paper).,2021,Charilaos Skandylas,conf/ecsa/Skandylas21,http://ceur-ws.org/Vol-2978/ds-paper93.pdf,Software_Architecture
1995,NAIST Openhand M2S: A Versatile Two-Finger Gripper Adapted for Pulling and Tucking Textile.,2017,Felix Von Drigalski & Daiki Yoshioka & Wataru Yamazaki & Sung-Gwi Cho & Marcus Gall & Pedro Miguell Uriguen Eljuri & Viktor Hoerig & Ming Ding 0002 & Jun Takamatsu & Tsukasa Ogasawara & Jessica Beltrán,conf/irc/DrigalskiYYCGEH17,https://doi.org/10.1109/IRC.2017.55,Robotics
562,A shortest path adaptive routing technique for minimizing path collisions in hybrid optical network-on-chip.,2013,Jae Hoon Lee & Young Seok Kim & Chang Lin Li & Tae Hee Han,journals/jsa/LeeKLH13,https://doi.org/10.1016/j.sysarc.2013.08.017,Software_Architecture
1794,A Self-Learning Architecture for Digital Twins with Self-Protection.,2021,Chris Anderson & Timothy Gordon Walmsley & Panos Patros,conf/acsos/AndersonWP21,https://doi.org/10.1109/ACSOS-C52956.2021.00075,Self-Adaptive_Systems
1961,Hemis: Hybrid Multi-agent Architecture for Energy Management and Home Automation.,2012,Saber Mansour & Nicolas Wiest & Olivier Lefevre & Sébastien Mazac,conf/saso/MansourWLM12,https://doi.org/10.1109/SASO.2012.44,Self-Adaptive_Systems
793,Online self-supervised segmentation of dynamic objects.,2013,Vitor Guizilini & Fabio Ramos 0001,conf/icra/GuiziliniR13,https://doi.org/10.1109/ICRA.2013.6631249,Robotics
453,On Ordering Multi-Robot Task Executions within a Cyber Physical System.,2018,Tushar Semwal & Shashi Shekhar Jha & Shivashankar B. Nair,journals/taas/SemwalJN18,https://doi.org/10.1145/3124677,Self-Adaptive_Systems
1485,Self-supervised Object Tracking with Cycle-consistent Siamese Networks.,2020,Weihao Yuan & Michael Yu Wang & Qifeng Chen,conf/iros/YuanWC20,https://doi.org/10.1109/IROS45743.2020.9341621,Robotics
