hits,title,year,authors,key,ee
25,Multi-AGV's Temporal Memory-Based RRT Exploration in Unknown Environment.,2022,Billy Pik Lik Lau & Brandon Jin Yang Ong & Leonard Kin Yung Loh & Ran Liu 0007 & Chau Yuen & Gim Song Soh & U-Xuan Tan,journals/ral/LauOLLYST22,https://doi.org/10.1109/LRA.2022.3190628
26,Model Predictive Control for Underwater Robots in Ocean Waves.,2017,Daniel C. Fernandez & Geoffrey A. Hollinger,journals/ral/FernandezH17,https://doi.org/10.1109/LRA.2016.2531792
27,Subject-Specific Assist-as-Needed Controllers for a Hand Exoskeleton for Rehabilitation.,2018,Priyanshu Agarwal & Ashish D. Deshpande,journals/ral/AgarwalD18,https://doi.org/10.1109/LRA.2017.2768124
28,Simulation-Ready Characterization of Soft Robotic Materials.,2020,Christian Schumacher & Espen Knoop & Moritz Bächer,journals/ral/SchumacherKB20,https://doi.org/10.1109/LRA.2020.2982058
29,Deep Cross Spectral Stereo Matching Using Multi-Spectral Image Fusion.,2022,Xiaolong Liang & Cheolkon Jung,journals/ral/LiangJ22,https://doi.org/10.1109/LRA.2022.3155202
30,Following Natural Language Instructions for Household Tasks With Landmark Guided Search and Reinforced Pose Adjustment.,2022,Michael Murray & Maya Cakmak,journals/ral/MurrayC22,https://doi.org/10.1109/LRA.2022.3178804
31,A Soft Exosuit Assisting Hip Abduction for Knee Adduction Moment Reduction During Walking.,2022,Hee Doo Yang & Myles Cooper & Asa M. Eckert-Erdheim & Dorothy Orzel & Conor J. Walsh,journals/ral/YangCEOW22,https://doi.org/10.1109/LRA.2022.3182106
32,Planning With Learned Dynamics: Probabilistic Guarantees on Safety and Reachability via Lipschitz Constants.,2021,Craig Knuth & Glen Chou & Necmiye Ozay & Dmitry Berenson,journals/ral/KnuthCOB21,https://doi.org/10.1109/LRA.2021.3068889
33,A Testbed for Haptic and Magnetic Resonance Imaging-Guided Percutaneous Needle Biopsy.,2019,Evelyn Mendoza & John Peter Whitney,journals/ral/MendozaW19,https://doi.org/10.1109/LRA.2019.2925558
34,Loop Closure Detection Using Local 3D Deep Descriptors.,2022,Youjie Zhou & Yiming Wang 0002 & Fabio Poiesi & Qi Qin & Yi Wan,journals/ral/ZhouWPQW22,https://doi.org/10.1109/LRA.2022.3156940
35,A Joint Optimization Approach of LiDAR-Camera Fusion for Accurate Dense 3-D Reconstructions.,2019,Weikun Zhen & Yaoyu Hu & Jingfeng Liu & Sebastian A. Scherer,journals/ral/ZhenHLS19,https://doi.org/10.1109/LRA.2019.2928261
36,RGB-D SLAM in Indoor Planar Environments With Multiple Large Dynamic Objects.,2022,Ran Long & Christian Rauch & Tianwei Zhang 0002 & Vladimir Ivan & Tin Lun Lam & Sethu Vijayakumar,journals/ral/LongRZILV22,https://doi.org/10.1109/LRA.2022.3186091
37,Arm-Wrist Haptic Sleeve for Drone Teleoperation.,2022,Vivek Ramachandran & Matteo Macchini & Dario Floreano,journals/ral/RamachandranMF22,https://doi.org/10.1109/LRA.2021.3122107
38,Easy-to-Deploy Combined Nasal/Throat Swab Robot With Sampling Dexterity and Resistance to External Interference.,2022,Wei Chen 0068 & Zhi Chen & Yiang Lu & Hanwen Cao & Jianshu Zhou & Michael C. F. Tong & Yun-Hui Liu,journals/ral/ChenCLCZTL22,https://doi.org/10.1109/LRA.2022.3191964
39,Robot Task Learning With Motor Babbling Using Pseudo Rehearsal.,2022,Kei Kase & Ai Tateishi & Tetsuya Ogata,journals/ral/KaseTO22,https://doi.org/10.1109/LRA.2022.3187517
40,A Stretchable Tactile Sleeve for Reaching Into Cluttered Spaces.,2021,Alexander M. Gruebele & Michael A. Lin & Dane Brouwer & Shenli Yuan & Andrew C. Zerbe & Mark R. Cutkosky,journals/ral/GruebeleLBYZC21,https://doi.org/10.1109/LRA.2021.3070304
41,GNSS Odometry: Precise Trajectory Estimation Based on Carrier Phase Cycle Slip Estimation.,2022,Taro Suzuki,journals/ral/Suzuki22,https://doi.org/10.1109/LRA.2022.3182795
42,Perceived Usefulness of a Social Robot Augmented Telehealth Platform by Therapists in the United States.,2021,Michael J. Sobrepera & Vera G. Lee & Suveer Garg & Rochelle Mendonca & Michelle J. Johnson,journals/ral/SobreperaLGMJ21,https://doi.org/10.1109/LRA.2021.3062349
43,Learning-Based Force Control of a Surgical Robot for Tool-Soft Tissue Interaction.,2021,Qinyuan Ren & Wenxin Zhu & Zhao Feng & Wenyu Liang,journals/ral/RenZFL21,https://doi.org/10.1109/LRA.2021.3093018
44,Cross-View Matching for Vehicle Localization by Learning Geographically Local Representations.,2021,Zimin Xia & Olaf Booij & Marco Manfredi & Julian F. P. Kooij,journals/ral/XiaBMK21,https://doi.org/10.1109/LRA.2021.3088076
45,Dense-ArthroSLAM: Dense Intra-Articular 3-D Reconstruction With Robust Localization Prior for Arthroscopy.,2019,Andres Marmol & Artur Banach & Thierry Peynot,journals/ral/MarmolBP19,https://doi.org/10.1109/LRA.2019.2892199
46,A Holistic Approach to Reactive Mobile Manipulation.,2022,Jesse Haviland & Niko Sünderhauf & Peter Corke,journals/ral/HavilandSC22,https://doi.org/10.1109/LRA.2022.3146554
47,A Variable Stiffness Robotic Probe for Soft Tissue Palpation.,2018,Nicolas Herzig & Perla Maiolino & Fumiya Iida & D. P. Thrishantha Nanayakkara,journals/ral/HerzigMIN18,https://doi.org/10.1109/LRA.2018.2793961
48,Unseen Object Few-Shot Semantic Segmentation for Robotic Grasping.,2023,Xiaozheng Liu & Yunzhou Zhang & Dexing Shan,journals/ral/LiuZS23,https://doi.org/10.1109/LRA.2022.3226073
49,Reactive Magnetic-Field-Inspired Navigation Method for Robots in Unknown Convex 3-D Environments.,2018,Ahmad Ataka & Hak-Keung Lam & Kaspar Althoefer,journals/ral/AtakaLA18,https://doi.org/10.1109/LRA.2018.2853801
50,Q-Attention: Enabling Efficient Learning for Vision-Based Robotic Manipulation.,2022,Stephen James & Andrew J. Davison,journals/ral/JamesD22,https://doi.org/10.1109/LRA.2022.3140817
51,Towards Efficient Human-Robot Collaboration With Robust Plan Recognition and Trajectory Prediction.,2020,Yujiao Cheng & Liting Sun & Changliu Liu & Masayoshi Tomizuka,journals/ral/ChengSLT20,https://doi.org/10.1109/LRA.2020.2972874
52,Singularity-Tolerant Inverse Kinematics for Bipedal Robots: An Efficient Use of Computational Power to Reduce Energy Consumption.,2017,Salman Faraji & Auke Jan Ijspeert,journals/ral/FarajiI17,https://doi.org/10.1109/LRA.2017.2661810
53,Model-Based Pose Control of Inflatable Eversion Robot With Variable Stiffness.,2020,Ahmad Ataka & Taqi Abrar & Fabrizio Putzu & Hareesh Godaba & Kaspar Althoefer,journals/ral/AtakaAPGA20,https://doi.org/10.1109/LRA.2020.2976326
54,Vision-Based Sensing for Electrically-Driven Soft Actuators.,2022,Annan Zhang & Ryan L. Truby & Lillian Chin & Shuguang Li & Daniela Rus,journals/ral/ZhangTCLR22,https://doi.org/10.1109/LRA.2022.3201604
55,L6DNet: Light 6 DoF Network for Robust and Precise Object Pose Estimation With Small Datasets.,2021,Mathieu Gonzalez & Amine Kacete & Albert Murienne & Éric Marchand,journals/ral/GonzalezKMM21,https://doi.org/10.1109/LRA.2021.3062605
56,Development of Performance System With Musical Dynamics Expression on Humanoid Saxophonist Robot.,2019,Jia-Yeu Lin & Mao Kawai & Yuya Nishio & Sarah Cosentino & Atsuo Takanishi,journals/ral/LinKNCT19,https://doi.org/10.1109/LRA.2019.2897372
57,Benchmarking In-Hand Manipulation.,2020,Silvia Cruciani & Balakumar Sundaralingam & Kaiyu Hang & Vikash Kumar & Tucker Hermans & Danica Kragic,journals/ral/CrucianiSHKHK20,https://doi.org/10.1109/LRA.2020.2964160
58,Development of Cable-driven Anthropomorphic Robot Hand*.,2021,Sungjae Min & Sooyeong Yi,journals/ral/MinY21,https://doi.org/10.1109/LRA.2021.3056375
59,Velocity Level Approximation of Pressure Field Contact Patches.,2022,Joseph Masterjohn & Damrong Guoy & John Shepherd 0001 & Alejandro M. Castro,journals/ral/MasterjohnGSC22,https://doi.org/10.1109/LRA.2022.3203845
60,Towards Fully Autonomous Ultrasound Scanning Robot With Imitation Learning Based on Clinical Protocols.,2021,Yanwei Huang & Wei Xiao & Chuyang Wang & Hengli Liu & Rui Huang & Zhenglong Sun 0001,journals/ral/HuangXWLHS21,https://doi.org/10.1109/LRA.2021.3064283
61,Evaluation of TENS Based Biofeedback and Warning for Improvement of Seated Balance on a Trunk Rehabilitation Robot.,2022,Amre Eizad & Hosu Lee & Junyeong Lee & Jungwon Yoon,journals/ral/EizadLLY22,https://doi.org/10.1109/LRA.2022.3191269
62,Preoperative Needle Insertion Path Planning for Minimizing Deflection in Multilayered Tissues.,2018,Ryosuke Tsumura & Jin Seob Kim & Hiroyasu Iwata & Iulian Iordachita,journals/ral/TsumuraKII18,https://doi.org/10.1109/LRA.2018.2809540
63,JammJoint: A Variable Stiffness Device Based on Granular Jamming for Wearable Joint Support.,2017,Simon Hauser & Matthew A. Robertson & Auke Jan Ijspeert & Jamie Paik,journals/ral/HauserRIP17,https://doi.org/10.1109/LRA.2017.2655109
64,Aerial Manipulation: A Literature Review.,2018,Fabio Ruggiero & Vincenzo Lippiello & Aníbal Ollero,journals/ral/RuggieroLO18,https://doi.org/10.1109/LRA.2018.2808541
65,Experimental Performance Comparison of Bidirectional Actuator Configurations for Suspended Aerial Platforms.,2022,Julien Rachiele-Tremblay & Hughes La Vigne & Guillaume Charron & David Rancourt & Alexis Lussier Desbiens,journals/ral/Rachiele-Tremblay22,https://doi.org/10.1109/LRA.2022.3205122
66,Forecasting Trajectory and Behavior of Road-Agents Using Spectral Clustering in Graph-LSTMs.,2020,Rohan Chandra & Tianrui Guan & Srujan Panuganti & Trisha Mittal & Uttaran Bhattacharya & Aniket Bera & Dinesh Manocha,journals/ral/ChandraGPMBBM20,https://doi.org/10.1109/LRA.2020.3004794
67,A Soft Sensorized Foot Module to Understand Anisotropic Terrains During Soft Robot Locomotion.,2020,Saravana Prashanth Murali Babu & Francesco Visentin & Ali Sadeghi & Alessio Mondini & Barbara Mazzolai,journals/ral/BabuVSMM20,https://doi.org/10.1109/LRA.2020.2986983
68,Frequency-Based Temperature Compensation for a Tactile Sensor Using Acoustic Reflection.,2018,Shun Akita & Tomohiro Fukuda & Yoshihiro Tanaka & Michitaka Fujiwara & Akihito Sano,journals/ral/AkitaFTFS18,https://doi.org/10.1109/LRA.2018.2853712
69,Impedance Control Design Based on Plastic Deformation for a Robotic Arm.,2017,Taku Senoo & Masanori Koike & Kenichi Murakami & Masatoshi Ishikawa,journals/ral/SenooKMI17,https://doi.org/10.1109/LRA.2016.2587806
70,An Experimental Validation of the Polynomial Curvature Model: Identification and Optimal Control of a Soft Underwater Tentacle.,2022,Francesco Stella & Nana Obayashi & Cosimo Della Santina & Josie Hughes,journals/ral/StellaOSH22,https://doi.org/10.1109/LRA.2022.3192887
71,A Twisted Elastic Rotary-Rail Actuator (TERRA) Using a Double-Stranded Helix Structure.,2021,Jae In Kim & Jaeyoun Choi & Junhyung Kim & Yong-Lae Park,journals/ral/KimCKP21,https://doi.org/10.1109/LRA.2021.3099098
72,A Spherical Active Joint for Humanoids and Humans.,2019,Sariah Mghames & Manuel G. Catalano & Antonio Bicchi & Giorgio Grioli,journals/ral/MghamesCBG19,https://doi.org/10.1109/LRA.2019.2893423
73,A Pneumatic/Cable-Driven Hybrid Linear Actuator With Combined Structure of Origami Chambers and Deployable Mechanism.,2020,Zhuang Zhang & Genliang Chen & Haiyu Wu & Lingyu Kong & Hao Wang 0015,journals/ral/ZhangCWKW20,https://doi.org/10.1109/LRA.2020.2976324
74,Learning Structured Representations of Spatial and Interactive Dynamics for Trajectory Prediction in Crowded Scenes.,2021,Todor Davchev & Michael Burke & Subramanian Ramamoorthy,journals/ral/DavchevBR21,https://doi.org/10.1109/LRA.2020.3047778
75,Learning Deep Nets for Gravitational Dynamics With Unknown Disturbance Through Physical Knowledge Distillation: Initial Feasibility Study.,2021,Hongbin Lin & Qian Gao & Xiangyu Chu & Qi Dou 0001 & Anton Deguet & Peter Kazanzides & K. W. Samuel Au,journals/ral/LinGCDDKA21,https://doi.org/10.1109/LRA.2021.3062351
76,Utility-Guided Palpation for Locating Tissue Abnormalities.,2017,Elif Ayvali & Alexander R. Ansari & Long Wang 0007 & Nabil Simaan & Howie Choset,journals/ral/AyvaliAWSC17,https://doi.org/10.1109/LRA.2017.2655619
77,Flight Path Planning of Solar-Powered UAV for Sustainable Communication Relay.,2020,Giancarlo Eder Guerra Padilla & Kun-Jung Kim & Seok-Hwan Park & Kee-Ho Yu,journals/ral/PadillaKPY20,https://doi.org/10.1109/LRA.2020.3014635
78,Autonomous Exploration in a Cluttered Environment for a Mobile Robot With 2D-Map Segmentation and Object Detection.,2022,Hyungseok Kim & Hyeongjin Kim & Seonil Lee & Hyeonbeom Lee,journals/ral/KimKLL22,https://doi.org/10.1109/LRA.2022.3171069
79,A Generalized Continuous Collision Detection Framework of Polynomial Trajectory for Mobile Robots in Cluttered Environments.,2022,Zeqing Zhang & Yinqiang Zhang & Ruihua Han & Liangjun Zhang & Jia Pan,journals/ral/ZhangZHZP22,https://doi.org/10.1109/LRA.2022.3191934
80,Architecture Design and Flight Control of a Novel Octopus Shaped Multirotor Vehicle.,2022,Sijia Wang & Lei Ma 0007 & Binbin Li & Kai Zhang 0004,journals/ral/WangMLZ22,https://doi.org/10.1109/LRA.2021.3124077
81,Towards Terrain Adaptablity: In Situ Transformation of Wheel-Biped Robots.,2022,Tangyou Liu & Chao Zhang 0076 & Jiaole Wang & Shuang Song 0002 & Max Q.-H. Meng,journals/ral/LiuZWSM22,https://doi.org/10.1109/LRA.2022.3148486
82,Closed-Loop Position Control of a Self-Sensing 3-DoF Origami Module With Pneumatic Actuators.,2021,Mustafa Mete & Jamie Paik,journals/ral/MeteP21,https://doi.org/10.1109/LRA.2021.3102952
83,An Interpretable Monitoring Framework for Virtual Physics-Based Non-Interfering Robot Social Planning.,2022,Rahul Peddi & Nicola Bezzo,journals/ral/PeddiB22,https://doi.org/10.1109/LRA.2022.3155239
84,Meta Reinforcement Learning for Optimal Design of Legged Robots.,2022,Álvaro Belmonte-Baeza & Joonho Lee & Giorgio Valsecchi & Marco Hutter 0001,journals/ral/Belmonte-BaezaL22,https://doi.org/10.1109/LRA.2022.3211785
85,Human-Robot Task Allocation and Scheduling: Boeing 777 Case Study.,2021,Andy Ham & Myoung-Ju Park,journals/ral/HamP21,https://doi.org/10.1109/LRA.2021.3056069
86,Simultaneous Control of Terrain Adaptation and Wheel Speed Allocation for a Planetary Rover With an Active Suspension System.,2021,Jie Li & Jun He & Yan Xing & Feng Gao 0011,journals/ral/LiHXG21,https://doi.org/10.1109/LRA.2021.3091701
87,Robust Pose-Graph SLAM Using Absolute Orientation Sensing.,2019,Saurav Agarwal & Karthikeya S. Parunandi & Suman Chakravorty,journals/ral/AgarwalPC19,https://doi.org/10.1109/LRA.2019.2893436
88,Design and Control of a Novel Leg-Arm Multiplexing Mobile Operational Hexapod Robot.,2022,Teng Chen & Yibin Li 0001 & Xuewen Rong & Guoteng Zhang & Hui Chai 0001 & Jian Bi & Qingsan Wang,journals/ral/ChenLRZCBW22,https://doi.org/10.1109/LRA.2021.3127639
89,Efficient Autonomous Robotic Exploration With Semantic Road Map in Indoor Environments.,2019,Chaoqun Wang & Delong Zhu & Teng Li 0005 & Max Q.-H. Meng & Clarence W. de Silva,journals/ral/WangZLMS19,https://doi.org/10.1109/LRA.2019.2923368
90,Uncertainty-Assisted Image-Processing for Human-Robot Close Collaboration.,2022,Seyedomid Sajedi & Wansong Liu & Kareem A. Eltouny & Sara Behdad & Minghui Zheng & Xiao Liang 0012,journals/ral/SajediLEBZL22,https://doi.org/10.1109/LRA.2022.3150487
91,A Self-Tuning Impedance-Based Interaction Planner for Robotic Haptic Exploration.,2022,Yasuhiro X. Kato & Pietro Balatti & Juan M. Gandarias & Mattia Leonori & Toshiaki Tsuji & Arash Ajoudani,journals/ral/KatoBGLTA22,https://doi.org/10.1109/LRA.2022.3190806
92,Boosting Real-Time Driving Scene Parsing With Shared Semantics.,2020,Zhenzhen Xiang & Anbo Bao & Jie Li & Jianbo Su,journals/ral/XiangBLS20,https://doi.org/10.1109/LRA.2020.2965075
93,Dynamically Reconfigurable Tactile Sensor for Robotic Manipulation.,2020,Tae Myung Huh & Hojung Choi & Simone Willcox & Stephanie Moon & Mark R. Cutkosky,journals/ral/HuhCWMC20,https://doi.org/10.1109/LRA.2020.2972881
94,A4T: Hierarchical Affordance Detection for Transparent Objects Depth Reconstruction and Manipulation.,2022,Jiaqi Jiang & Guanqun Cao & Thanh-Toan Do & Shan Luo 0001,journals/ral/JiangCDL22,https://doi.org/10.1109/LRA.2022.3191231
95,Show Me What You Can Do: Capability Calibration on Reachable Workspace for Human-Robot Collaboration.,2022,Xiaofeng Gao 0002 & Luyao Yuan & Tianmin Shu & Hongjing Lu & Song-Chun Zhu,journals/ral/GaoYSLZ22,https://doi.org/10.1109/LRA.2022.3144779
96,Closed-Chain Manipulation of Large Objects by Multi-Arm Robotic Systems.,2017,Xian Zhou 0004 & Puttichai Lertkultanon & Quang-Cuong Pham,journals/ral/ZhouLP17,https://doi.org/10.1109/LRA.2017.2708134
97,Speeding-Up Robot Exploration by Exploiting Background Information.,2016,Stefan Oßwald & Maren Bennewitz & Wolfram Burgard & Cyrill Stachniss,journals/ral/ObwaldBBS16,https://doi.org/10.1109/LRA.2016.2520560
98,Mind the Gap: Norm-Aware Adaptive Robust Loss for Multivariate Least-Squares Problems.,2022,Thomas Hitchcox & James Richard Forbes,journals/ral/HitchcoxF22,https://doi.org/10.1109/LRA.2022.3179424
99,Whole-Body Locomotion and Posture Control on a Torque-Controlled Hydraulic Rover.,2019,Sang-Ho Hyon & Yusuke Ida & Junichi Ishikawa & Minoru Hiraoka,journals/ral/HyonIIH19,https://doi.org/10.1109/LRA.2019.2926661
100,Learning Closed-Loop Dough Manipulation Using a Differentiable Reset Module.,2022,Carl Qi & Xingyu Lin & David Held,journals/ral/QiLH22,https://doi.org/10.1109/LRA.2022.3191239
101,Instance-Aware Multi-Object Self-Supervision for Monocular Depth Prediction.,2022,Houssem-eddine Boulahbal & Adrian Voicila & Andrew I. Comport,journals/ral/BoulahbalVC22,https://doi.org/10.1109/LRA.2022.3194951
102,Interconnection and Damping Assignment Passivity-Based Impedance Control of a Compliant Assistive Robot for Physical Human-Robot Interactions.,2019,Ting Zhang & Jing Xia,journals/ral/ZhangX19,https://doi.org/10.1109/LRA.2019.2891434
103,Energy-Efficient Control Policy for Parallel and Identical Machines With Availability Constraint.,2021,Alberto Loffredo & Nicla Frigerio & Ettore Lanzarone & Andrea Matta,journals/ral/LoffredoFLM21,https://doi.org/10.1109/LRA.2021.3085169
104,Randomized Sensor Selection for Nonlinear Systems With Application to Target Localization.,2019,Shaunak D. Bopardikar & Osama En-Nasr & Xiaobo Tan,journals/ral/BopardikarET19,https://doi.org/10.1109/LRA.2019.2928208
105,Stein Particle Filter for Nonlinear; Non-Gaussian State Estimation.,2022,Fahira Afzal Maken & Fabio Ramos 0001 & Lionel Ott,journals/ral/MakenRO22a,https://doi.org/10.1109/LRA.2022.3153705
106,Adaptation of Gradient-Based Navigation Control for Holonomic Robots to Nonholonomic Robots.,2021,Amir Salimi Lafmejani & Hamed Farivarnejad & Spring Berman,journals/ral/LafmejaniFB21,https://doi.org/10.1109/LRA.2020.3037855
107,Modular FBG Bending Sensor for Continuum Neurosurgical Robot.,2019,Nahian Rahman & Nancy Joanna Deaton & Jun Sheng & Shing Shin Cheng & Jaydev P. Desai,journals/ral/RahmanDSCD19,https://doi.org/10.1109/LRA.2019.2896451
108,Six-DoF Pose Estimation for a Tendon-Driven Continuum Mechanism Without a Deformation Model.,2019,Bastian Deutschmann & Maxime Chalon & Jens Reinecke & Maximilian Maier & Christian Ott 0001,journals/ral/DeutschmannCRMO19,https://doi.org/10.1109/LRA.2019.2927943
109,An Artificial Robot Nervous System To Teach Robots How To Feel Pain And Reflexively React To Potentially Damaging Contacts.,2017,Johannes Kuehn & Sami Haddadin,journals/ral/KuehnH17,https://doi.org/10.1109/LRA.2016.2536360
110,Emergence of Consensus in a Multi-Robot Network: From Abstract Models to Empirical Validation.,2016,Vito Trianni & Daniele De Simone & Andreagiovanni Reina & Andrea Baronchelli,journals/ral/TrianniSRB16,https://doi.org/10.1109/LRA.2016.2519537
111,Playful Recommendation: Sales Promotion That Robots Stimulate Pleasant Feelings Instead of Product Explanation.,2022,Takuya Iwamoto & Jun Baba & Junya Nakanishi & Katsuya Hyodo & Yuichiro Yoshikawa & Hiroshi Ishiguro,journals/ral/IwamotoBNHYI22,https://doi.org/10.1109/LRA.2022.3189149
112,Learning Generative Socially Aware Models of Pedestrian Motion.,2019,Claudia Blaiotta,journals/ral/Blaiotta19,https://doi.org/10.1109/LRA.2019.2928202
113,Visual Servoing in Autoencoder Latent Space.,2022,Samuel Felton & Pascal Brault & Élisa Fromont & Éric Marchand,journals/ral/FeltonBFM22,https://doi.org/10.1109/LRA.2022.3144490
114,Safe Navigation With Human Instructions in Complex Scenes.,2019,Zhe Hu & Jia Pan & Tingxiang Fan & Ruigang Yang & Dinesh Manocha,journals/ral/HuPFYM19,https://doi.org/10.1109/LRA.2019.2893432
115,Gantry Scheduling for Multi-Gantry Production System by Online Task Allocation Method.,2017,Xinyan Ou & Qing Chang 0001 & Nilanjan Chakraborty & Junfeng Wang 0007,journals/ral/OuCCW17,https://doi.org/10.1109/LRA.2017.2710259
